NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
809,강남레체,월세,28.48,"5,000",70,3,2016,헌릉로571길 7,서울특별시 강남구 헌릉로571길 7,서울특별시 강남구 세곡동 582,업무시설," 업무시설,근린생활시설 ",127.1013674,37.4660468,서울특별시 강남구 헌릉로571길 7,20600,7,18500,6,17900,3,21800,4,18300,유지,,
810,강남레체,전세,28.64,"18,230",0,3,2016,헌릉로571길 7,서울특별시 강남구 헌릉로571길 7,서울특별시 강남구 세곡동 582,업무시설," 업무시설,근린생활시설 ",127.1013674,37.4660468,서울특별시 강남구 헌릉로571길 7,18230,6,18200,7,19600,3,18400,4,18300,유지,,
813,강남레체,전세,29.46,"18,700",0,4,2016,헌릉로571길 7,서울특별시 강남구 헌릉로571길 7,서울특별시 강남구 세곡동 582,업무시설," 업무시설,근린생활시설 ",127.1013674,37.4660468,서울특별시 강남구 헌릉로571길 7,18700,5,19400,4,20400,7,20700,3,19200,유지,,
892,천석빌딩,전세,42.5,"25,000",0,4,2016,헌릉로571길 9,서울특별시 강남구 헌릉로571길 9,서울특별시 강남구 세곡동 583,업무시설," 업무시설,제1종근린생활시설 ",127.1014326,37.4662635,서울특별시 강남구 헌릉로571길 9,25000,5,21500,2,25600,3,27300,2,21900,유지,,
896,천석빌딩,월세,46.05,"8,000",85,4,2016,헌릉로571길 9,서울특별시 강남구 헌릉로571길 9,서울특별시 강남구 세곡동 583,업무시설," 업무시설,제1종근린생활시설 ",127.1014326,37.4662635,서울특별시 강남구 헌릉로571길 9,26900,6,28000,6,29300,3,26700,8,30400,유지,,
908,목화오피스텔,월세,36.36,110,110,5,1997,광평로56길 8-9,서울특별시 강남구 광평로56길 8-9,서울특별시 강남구 수서동 725-1,업무시설,업무시설,127.103435,37.486958,서울특별시 강남구 광평로56길 8-9,24600,6,14600,6,15200,4,15600,4,15200,유지,,
909,사이룩스,전세,30.25,"19,000",0,12,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,19000,16,16000,13,18400,5,18700,13,18100,유지,,
912,사이룩스,전세,32.58,"19,500",0,6,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,19500,7,17200,10,18000,15,19600,10,18300,유지,,
914,사이룩스,월세,33.52,"5,000",50,11,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,16100,6,17200,16,18000,6,18300,7,18800,유지,,
920,사이룩스,월세,38.02,"1,000",75,13,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,17700,4,19400,11,19300,6,21000,13,20000,유지,,
926,사이룩스,월세,40.88,"1,000",80,11,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,18800,10,19400,8,21700,10,18700,11,20300,유지,,
932,사이룩스,전세,42.13,"26,000",0,6,2003,광평로 295,서울특별시 강남구 광평로 295,서울특별시 강남구 수서동 716,업무시설," 업무시설(오피스텔),판매시설,근린생활시설 ",127.1042086,37.4884596,서울특별시 강남구 광평로 295,26000,6,21000,4,20600,7,22900,4,20200,유지,,
997,BIEL 106,전세,21.39,"22,500",0,7,2018,역삼로 106,서울특별시 강남구 역삼로 106,서울특별시 강남구 역삼동 832-16,업무시설," 업무시설(오피스텔-291호),근린생활시설 ",127.0308413,37.4930076,서울특별시 강남구 역삼로 106,22500,13,24700,8,25800,8,24400,4,25100,유지,,
